Election Title,results_pres
Winner,Steven Xu
Round,2
Candidates,"['Lauren Caffe', 'Steven Xu']"
Lauren Caffe,140
Steven Xu,147
Lauren Caffe
"3763758:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763761:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763762:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763781:['Firas Abboud', 'Lauren Caffe']"
"3763792:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763796:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763802:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763803:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763804:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763809:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763810:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763814:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763818:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763821:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763849:['Lauren Caffe', 'Steven Xu']"
"3763852:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763860:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763862:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763866:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763868:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763873:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763875:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763877:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763887:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763892:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763893:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763894:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763895:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
3763896:['Lauren Caffe']
"3763897:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763904:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763907:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763912:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763917:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763924:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
3763926:['Lauren Caffe']
"3763937:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3763959:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
3763962:['Lauren Caffe']
"3763963:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763965:['Firas Abboud', 'Lauren Caffe']"
"3763969:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763986:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763990:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763993:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3763997:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3763998:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764003:['Lauren Caffe', 'Firas Abboud']"
"3764005:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
3764012:['Lauren Caffe']
"3764022:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764051:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764060:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764067:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764091:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764096:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764100:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764103:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764106:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764112:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764125:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764130:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764142:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
3764144:['Lauren Caffe']
"3764179:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764187:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764193:['Firas Abboud', 'Lauren Caffe']"
"3764196:['Lauren Caffe', 'Firas Abboud']"
"3764200:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764210:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764218:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764219:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764237:['Lauren Caffe', 'Steven Xu']"
"3764244:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
3764261:['Lauren Caffe']
"3764265:['Firas Abboud', 'Lauren Caffe']"
3764281:['Lauren Caffe']
3764284:['Lauren Caffe']
"3764301:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764311:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764349:['Lauren Caffe', 'Firas Abboud']"
"3764359:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764371:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764380:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764381:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764393:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764402:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764411:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764415:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764419:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764424:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764449:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764452:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764505:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764589:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764691:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3764711:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3764741:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764859:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3764996:['Lauren Caffe', 'Firas Abboud']"
"3765050:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765079:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765129:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765141:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765150:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765299:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765393:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
3765404:['Lauren Caffe']
3765464:['Lauren Caffe']
"3765471:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765483:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765555:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765582:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765585:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765587:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765590:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765594:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765612:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765615:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
3765616:['Lauren Caffe']
"3765618:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765622:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765629:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765632:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765635:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765644:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765645:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765655:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
"3765658:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765667:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765673:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765677:['Lauren Caffe', 'Firas Abboud']"
3765683:['Lauren Caffe']
"3765703:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
"3765711:['Firas Abboud', 'Lauren Caffe', 'Steven Xu']"
3765715:['Lauren Caffe']
"3765726:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
"3765745:['Lauren Caffe', 'Steven Xu', 'Firas Abboud']"
3765746:['Lauren Caffe']
"3765756:['Lauren Caffe', 'Firas Abboud', 'Steven Xu']"
Steven Xu
3763759:['Steven Xu']
"3763760:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763767:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763769:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763775:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763777:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763782:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763784:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763786:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763787:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763793:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763794:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763798:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763800:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763816:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
3763825:['Steven Xu']
"3763827:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763829:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763830:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763839:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763843:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763856:['Firas Abboud', 'Steven Xu']"
"3763861:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763865:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763870:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763879:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763886:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763899:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763908:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
3763920:['Steven Xu']
"3763921:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763923:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763925:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763948:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3763952:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3763953:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3763955:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
3763980:['Steven Xu']
"3763989:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764001:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764013:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764015:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764016:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764017:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
3764046:['Steven Xu']
"3764058:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764089:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764095:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764111:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764120:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764126:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764128:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764132:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764152:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764153:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764154:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764168:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764198:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764249:['Steven Xu', 'Lauren Caffe']"
"3764253:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764259:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764280:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764320:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764354:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764365:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764373:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764423:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764425:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764516:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764531:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764534:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764539:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764551:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764560:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764598:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764599:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764614:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764678:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3764707:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764740:['Firas Abboud', 'Steven Xu']"
"3764864:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3764869:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3764916:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765005:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765034:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765038:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765172:['Firas Abboud', 'Steven Xu']"
"3765220:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765224:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765236:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765290:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765305:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765323:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765325:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765381:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765435:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765486:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765509:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765524:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765534:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765540:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765569:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765574:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765578:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765579:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765586:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
3765588:['Steven Xu']
"3765595:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765602:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
3765606:['Steven Xu']
"3765607:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765608:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765614:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765619:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765620:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765623:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765624:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765625:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765627:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765636:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765637:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765640:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765641:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765646:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765651:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765652:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765653:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765660:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765661:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765664:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765668:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765669:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765670:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765671:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765674:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765688:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765689:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765694:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765705:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765722:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765728:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765731:['Steven Xu', 'Lauren Caffe', 'Firas Abboud']"
"3765732:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765751:['Steven Xu', 'Firas Abboud', 'Lauren Caffe']"
"3765752:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765755:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
"3765776:['Firas Abboud', 'Steven Xu', 'Lauren Caffe']"
Eliminated Candidates,
